Year,Area,Production,Yield,Rural_Population,Employment,Rainfall,Export_Value,India_GDP,Agriculture_perc_GDP,Agriculture_GDP,Credit_Disbursed_Perc,Credit_Disbursed_amount,Outstanding_Credit_Perc,Outstanding_Credit_amount,LokSabha_Elections,Arable_Land,Machinery,Fertiliser_Consumption,FDI_amount,PubSB_NPA,PrivSB_NPA,Rainfall_deviation
1994,123.86,191.5,1546,73.6,62.18,1295.3,3.24,327.28,26.39,86.37,6.5,5.61,15,12.96,No,162.52,77.381,,,0,0,31
1995,121.01,180.4,1491,73.39,61.76,1242.4,5.49,360.28,24.46,88.12,7,6.17,14,12.34,No,161.91,83.68,,,0,0,28
1996,123.58,199.3,1614,73.18,61.44,1182.9,5.85,392.9,25.42,99.87,8,7.99,13,12.98,Yes,161.02,93.277,,,0,0,25
1997,124.07,192.3,1552,72.97,61.08,1183.1,5.65,415.87,24.34,101.22,7.5,7.59,12.5,12.65,No,161.6,102.103,,,0,0,25
1998,125.17,203.6,1627,72.76,60.66,1208.8,5.22,421.35,24.38,102.72,7,7.19,11,11.3,Yes,161.41,111.332,,,0,0,26
1999,123.1,209.8,1704,72.55,59.92,1116.6,4.64,458.82,23,105.52,7.5,7.91,10,10.55,Yes,160.97,120.764,,,0,0,20
2000,121.05,196.8,1626,72.33,59.65,1035.4,4.95,468.39,21.61,101.22,10,10.12,13,13.16,No,160.93,129.932,,5.16,0,0,14
2001,122.78,212.9,1734,72.08,59.05,1100.7,5.23,485.44,21.62,104.95,10,10.5,15,15.74,No,160.32,,,6.09,0,0,19
2002,113.86,174.8,1535,71.76,58.43,935.9,5.52,514.94,19.54,100.61,10.5,10.56,20,20.12,No,160.43,,100.33,3.92,0,0,5
2003,123.45,213.2,1727,71.43,57.67,1187.3,6.5,607.7,19.58,118.98,12.5,14.87,24,28.56,No,159.8,,105.18,13.21,0,0,25
2004,120.08,198.4,1652,71.1,56.68,1106.5,7.06,709.15,17.81,126.3,15,18.95,30,37.89,Yes,159.68,,115.27,13.01,7,3,20
2005,121.6,208.6,1715,70.76,55.82,1208.3,9.02,820.38,17.62,144.55,20,28.91,35,50.59,No,159.44,,127.61,16.77,6,2,26
2006,123.71,217.3,1756,70.43,54.9,1161.6,11.26,940.26,16.81,158.05,22.5,35.56,37,58.48,No,158.66,,136.4,17.07,4.5,1.7,23
2007,124.07,230.8,1860,70.09,53.86,1179.3,16.71,1216.74,16.75,203.8,26,52.99,40,81.52,No,158.02,,142.83,54.21,3.6,2,25
2008,122.83,234.5,1909,69.75,53.09,1118,17.31,1198.9,16.8,201.41,24,48.34,36,72.51,No,157.99,,153.35,10.88,3.8,3,20
2009,121.33,218.1,1798,69.41,52.12,953.7,15.66,1341.89,16.74,224.63,25.5,57.28,37,83.11,Yes,157.92,,167.46,35.27,2.1,2.2,7
2010,126.67,244.5,1930,69.07,51.06,1215.5,19.97,1675.62,17.03,285.36,26,74.19,38.5,109.86,No,157.01,,179.04,73.34,2.6,2.7,27
2011,124.75,259.3,2078,68.72,48.96,1116.3,30.29,1823.05,17.2,313.56,26,81.53,37.5,117.59,No,156.98,,180.75,81.21,3.5,2.5,20
2012,120.78,257.1,2129,68.37,47,1054.7,38.16,1827.64,16.84,307.77,30,92.33,40,123.11,No,156.55,,163.122,,5,2.2,16
2013,125.04,265,2120,68,46.6,1216.2,42.49,1856.72,17.15,318.42,35,111.45,45,143.29,No,156.44,,156.49,,5.4,2,27
2014,124.3,252,2028,67.62,46.07,1033.7,36.18,2039.13,16.8,342.57,32,109.62,40,137.03,Yes,156.46,,163.49,,5,2,14
2015,122.65,252.2,2056,67.22,45.56,1093.2,28.66,2103.59,16.17,340.15,35.5,120.75,45,153.07,No,156.46,,170.98,,5.2,2,19
2016,129.2,275.11,2129,66.82,45.12,1083.1,26.49,2290.43,16.25,372.19,39,145.15,50,186.1,No,156.46,,165.85,,5.6,2.1,18
2017,127.5,284.83,2233,66.4,44.52,1127.1,30.42,2652.55,15.62,414.33,35,145.02,45,186.45,No,156.46,,,,6.4,2.7,21
2018,124.33,252.1,2023.18,65.97,43.86,1073.5,37,2726.32,14.6,398.04,33,131.35,50,199.02,No,156.46,,,,8.5,3.1,17
2019,124.5,252.1,2023.2,65.56,43.21,1328.5,39.59,3202,14.5,464.3,33,153.22,45,208.94,Yes,156.46,,,,0,0,33
